Time_(s), Base_Joint_Velocity_(rad/s), Shoulder_Joint_Velocity_(rad/s), Elbow_Joint_Velocity_(rad/s), Wrist_Pitch_Joint_Velocity_(rad/s), Wrist_Roll_Joint_Velocity_(rad/s)
15.263, -0.29998, 0.00000, 0.00000, 0.00000, 0.61615
15.275, -0.30001, 0.00000, 0.00000, 0.00000, 0.62302
15.288, -0.30000, 0.00000, 0.00000, 0.00000, 0.62961
15.300, -0.30000, 0.00000, 0.00000, 0.00000, 0.63591
15.313, -0.30000, 0.00000, 0.00000, 0.00000, 0.64194
15.325, -0.30000, 0.00000, 0.00000, 0.00000, 0.64769
15.338, -0.30000, 0.00000, 0.00000, 0.00000, 0.65316
15.350, -0.30000, 0.00000, 0.00000, 0.00000, 0.65835
15.363, -0.30000, 0.00000, 0.00000, 0.00000, 0.66326
15.375, -0.30000, 0.00000, 0.00000, 0.00000, 0.66789
15.388, -0.30000, 0.00000, 0.00000, 0.00000, 0.67225
15.400, -0.30000, 0.00000, 0.00000, 0.00000, 0.67632
15.413, -0.30000, 0.00000, 0.00000, 0.00000, 0.68012
15.425, -0.30000, 0.00000, 0.00000, 0.00000, 0.68363
15.438, -0.30000, 0.00000, 0.00000, 0.00000, 0.68687
15.450, -0.30000, 0.00000, 0.00000, 0.00000, 0.68983
15.463, -0.30000, 0.00000, 0.00000, 0.00000, 0.69250
15.475, -0.30000, 0.00000, 0.00000, 0.00000, 0.69490
15.488, -0.30000, 0.00000, 0.00000, 0.00000, 0.69702
15.500, -0.30000, 0.00000, 0.00000, 0.00000, 0.69886
15.513, -0.30000, 0.00000, 0.00000, 0.00000, 0.70042
15.525, -0.30000, 0.00000, 0.00000, 0.00000, 0.70171
15.538, -0.30000, 0.00000, 0.00000, 0.00000, 0.70271
15.550, -0.30000, 0.00000, 0.00000, 0.00000, 0.70344
15.563, -0.30000, 0.00000, 0.00000, 0.00000, 0.70388
15.575, -0.30000, 0.00000, 0.00000, 0.00000, 0.70405
15.588, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
15.600, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
15.613, -0.30000, 0.00000, 0.00000, 0.00000, 0.70403
15.625, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
15.638, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
15.650, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
15.663, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
15.675, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
15.688, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
15.700, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
15.713, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
15.725, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
15.738, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
15.750, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
15.763, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
15.775, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
15.788, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
15.800, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
15.813, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
15.825, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
15.838, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
15.850, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
15.863, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
15.875, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
15.888, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
15.900, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
15.913, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
15.925, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
15.938, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
15.950, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
15.963, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
15.975, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
15.988, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.000, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.013, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.025, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.038, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.050, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.063, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.075, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.088, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.100, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.113, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.125, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.138, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.150, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.163, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.175, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.188, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.200, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.213, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.225, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.238, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.250, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.263, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.275, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.288, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.300, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.313, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.325, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.338, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.350, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.363, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.375, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.388, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.400, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.413, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.425, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.438, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.450, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.463, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.475, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.488, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.500, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.513, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.525, -0.30000, 0.00000, 0.00000, 0.00000, 0.70402
16.538, -0.30000, 0.00000, 0.00000, 0.00000, 0.70404
16.550, -0.30000, 0.00000, 0.00000, 0.00000, 0.70399
16.563, -0.30000, 0.00000, 0.00000, 0.00000, 0.70368
16.575, -0.30000, 0.00000, 0.00000, 0.00000, 0.70309
16.588, -0.30000, 0.00000, 0.00000, 0.00000, 0.70222
16.600, -0.30000, 0.00000, 0.00000, 0.00000, 0.70107
16.613, -0.30000, 0.00000, 0.00000, 0.00000, 0.69964
16.625, -0.30000, 0.00000, 0.00000, 0.00000, 0.69794
16.638, -0.30000, 0.00000, 0.00000, 0.00000, 0.69595
16.650, -0.30000, 0.00000, 0.00000, 0.00000, 0.69368
16.663, -0.30000, 0.00000, 0.00000, 0.00000, 0.69114
16.675, -0.30000, 0.00000, 0.00000, 0.00000, 0.68832
16.688, -0.30000, 0.00000, 0.00000, 0.00000, 0.68521
16.700, -0.30000, 0.00000, 0.00000, 0.00000, 0.68183
16.713, -0.30000, 0.00000, 0.00000, 0.00000, 0.67817
16.725, -0.30000, 0.00000, 0.00000, 0.00000, 0.67423
16.738, -0.30000, 0.00000, 0.00000, 0.00000, 0.67001
16.750, -0.30000, 0.00000, 0.00000, 0.00000, 0.66551
16.763, -0.30000, 0.00000, 0.00000, 0.00000, 0.66073
16.775, -0.30000, 0.00000, 0.00000, 0.00000, 0.65567
16.788, -0.30000, 0.00000, 0.00000, 0.00000, 0.65034
16.800, -0.30000, 0.00000, 0.00000, 0.00000, 0.64472
16.813, -0.30000, 0.00000, 0.00000, 0.00000, 0.63883
16.825, -0.30000, 0.00000, 0.00000, 0.00000, 0.63265
16.838, -0.30001, 0.00000, 0.00000, 0.00000, 0.62620
16.850, -0.30001, 0.00000, 0.00000, 0.00000, 0.61947
16.863, -0.29989, 0.00000, 0.00000, 0.00000, 0.61246
16.875, -0.29947, 0.00000, 0.00000, 0.00000, 0.60517
16.888, -0.29873, 0.00000, 0.00000, 0.00000, 0.59760
16.900, -0.29768, 0.00000, 0.00000, 0.00000, 0.58975
16.913, -0.29632, 0.00000, 0.00000, 0.00000, 0.58162
16.925, -0.29464, 0.00000, 0.00000, 0.00000, 0.57321
16.938, -0.29265, 0.00000, 0.00000, 0.00000, 0.56453
16.950, -0.29035, 0.00000, 0.00000, 0.00000, 0.55556
16.963, -0.28774, 0.00000, 0.00000, 0.00000, 0.54632
16.975, -0.28481, 0.00000, 0.00000, 0.00000, 0.53679
16.988, -0.28158, 0.00000, 0.00000, 0.00000, 0.52699
17.000, -0.27803, 0.00000, 0.00000, 0.00000, 0.51691
17.013, -0.27416, 0.00000, 0.00000, 0.00000, 0.50655
17.025, -0.26999, 0.00000, 0.00000, 0.00000, 0.49591
17.038, -0.26549, 0.00000, 0.00000, 0.00000, 0.48499
17.050, -0.26070, 0.00000, 0.00000, 0.00000, 0.47379
17.063, -0.25569, 0.00000, 0.00000, 0.00000, 0.46231
17.075, -0.25069, 0.00000, 0.00000, 0.00000, 0.45056
17.088, -0.24569, 0.00000, 0.00000, 0.00000, 0.43850
17.100, -0.24069, 0.00000, 0.00000, 0.00000, 0.42620
17.113, -0.23569, 0.00000, 0.00000, 0.00000, 0.41380
17.125, -0.23069, 0.00000, 0.00000, 0.00000, 0.40140
17.138, -0.22569, 0.00000, 0.00000, 0.00000, 0.38901
17.150, -0.22069, 0.00000, 0.00000, 0.00000, 0.37662
17.163, -0.21569, 0.00000, 0.00000, 0.00000, 0.36423
17.175, -0.21069, 0.00000, 0.00000, 0.00000, 0.35184
17.188, -0.20569, 0.00000, 0.00000, 0.00000, 0.33945
17.200, -0.20069, 0.00000, 0.00000, 0.00000, 0.32706
17.213, -0.19569, 0.00000, 0.00000, 0.00000, 0.31466
17.225, -0.19069, 0.00000, 0.00000, 0.00000, 0.30227
17.238, -0.18569, 0.00000, 0.00000, 0.00000, 0.28989
17.250, -0.18069, 0.00000, 0.00000, 0.00000, 0.27747
17.263, -0.17569, 0.00000, 0.00000, 0.00000, 0.26517
17.275, -0.17069, 0.00000, 0.00000, 0.00000, 0.25314
17.288, -0.16569, 0.00000, 0.00000, 0.00000, 0.24139
17.300, -0.16069, 0.00000, 0.00000, 0.00000, 0.22992
17.313, -0.15569, 0.00000, 0.00000, 0.00000, 0.21873
17.325, -0.15069, 0.00000, 0.00000, 0.00000, 0.20782
17.338, -0.14569, 0.00000, 0.00000, 0.00000, 0.19718
17.350, -0.14069, 0.00000, 0.00000, 0.00000, 0.18683
17.363, -0.13569, 0.00000, 0.00000, 0.00000, 0.17675
17.375, -0.13069, 0.00000, 0.00000, 0.00000, 0.16696
17.388, -0.12569, 0.00000, 0.00000, 0.00000, 0.15744
17.400, -0.12069, 0.00000, 0.00000, 0.00000, 0.14821
17.413, -0.11569, 0.00000, 0.00000, 0.00000, 0.13925
17.425, -0.11069, 0.00000, 0.00000, 0.00000, 0.13057
17.438, -0.10569, 0.00000, 0.00000, 0.00000, 0.12217
17.450, -0.10069, 0.00000, 0.00000, 0.00000, 0.11405
17.463, -0.09569, 0.00000, 0.00000, 0.00000, 0.10621
17.475, -0.09069, 0.00000, 0.00000, 0.00000, 0.09865
17.488, -0.08569, 0.00000, 0.00000, 0.00000, 0.09137
17.500, -0.08069, 0.00000, 0.00000, 0.00000, 0.08436
17.513, -0.07569, 0.00000, 0.00000, 0.00000, 0.07764
17.525, -0.07069, 0.00000, 0.00000, 0.00000, 0.07119
17.538, -0.06569, 0.00000, 0.00000, 0.00000, 0.06503
17.550, -0.06069, 0.00000, 0.00000, 0.00000, 0.05914
17.563, -0.05569, 0.00000, 0.00000, 0.00000, 0.05353
17.575, -0.05069, 0.00000, 0.00000, 0.00000, 0.04820
17.588, -0.04569, 0.00000, 0.00000, 0.00000, 0.04315
17.600, -0.04070, 0.00000, 0.00000, 0.00000, 0.03838
17.613, -0.03580, 0.00000, 0.00000, 0.00000, 0.03389
17.625, -0.03122, 0.00000, 0.00000, 0.00000, 0.02968
17.638, -0.02697, 0.00000, 0.00000, 0.00000, 0.02575
17.650, -0.02301, 0.00000, 0.00000, 0.00000, 0.02209
17.663, -0.01938, 0.00000, 0.00000, 0.00000, 0.01872
17.675, -0.01605, 0.00000, 0.00000, 0.00000, 0.01562
17.688, -0.01304, 0.00000, 0.00000, 0.00000, 0.01281
17.700, -0.01034, 0.00000, 0.00000, 0.00000, 0.01027
17.713, -0.00795, 0.00000, 0.00000, 0.00000, 0.00801
17.725, -0.00588, 0.00000, 0.00000, 0.00000, 0.00603
17.738, -0.00412, 0.00000, 0.00000, 0.00000, 0.00434
17.750, -0.00267, 0.00000, 0.00000, 0.00000, 0.00291
17.763, -0.00153, 0.00000, 0.00000, 0.00000, 0.00177
17.775, -0.00071, 0.00000, 0.00000, 0.00000, 0.00091
17.788, -0.00019, 0.00000, 0.00000, 0.00000, 0.00033
17.800, 0.00001, -0.00000, -0.00000, 0.00000, 0.00002
17.813, 0.00001, -0.00000, -0.00000, 0.00000, 0.00002
17.825, 0.00000, -0.00000, -0.00000, 0.00000, 0.00002
17.838, 0.00000, -0.00000, -0.00000, 0.00000, 0.00002
17.850, 0.00000, -0.00000, -0.00000, 0.00000, 0.00001
17.863, 0.00000, -0.00000, -0.00000, 0.00001, 0.00001
17.875, 0.00000, -0.00000, -0.00000, 0.00001, 0.00001
17.888, 0.00000, -0.00000, -0.00000, 0.00001, 0.00001
17.900, 0.00000, -0.00000, -0.00000, 0.00001, 0.00001
17.913, 0.00000, -0.00000, -0.00000, 0.00001, 0.00000
17.925, 0.00000, -0.00000, -0.00000, 0.00001, 0.00000
17.938, 0.00000, -0.00000, -0.00000, 0.00001, 0.00000
17.950, 0.00000, -0.00000, -0.00000, 0.00001, -0.00000
17.963, 0.00000, -0.00000, -0.00000, 0.00001, -0.00000
17.975, 0.00000, -0.00000, -0.00000, 0.00001, -0.00000
17.988, 0.00000, -0.00000, -0.00000, 0.00001, -0.00001
18.000, 0.00000, -0.00000, -0.00000, 0.00001, -0.00001
18.013, 0.00000, -0.00000, -0.00000, 0.00001, -0.00001
18.025, 0.00000, -0.00000, -0.00000, 0.00001, -0.00001
18.038, 0.00000, -0.00000, -0.00001, 0.00001, -0.00001
18.050, 0.00000, -0.00000, -0.00001, 0.00001, -0.00001
18.063, 0.00000, -0.00000, -0.00001, 0.00001, -0.00001
18.075, 0.00000, -0.00000, -0.00001, 0.00001, -0.00001
18.088, 0.00000, -0.00000, -0.00001, 0.00001, -0.00002
18.100, 0.00000, -0.00000, -0.00001, 0.00001, -0.00002
18.113, 0.00000, -0.00000, -0.00001, 0.00002, -0.00002
18.125, 0.00000, -0.00000, -0.00001, 0.00002, -0.00002
18.138, -0.00000, -0.00000, -0.00001, 0.00002, -0.00002
18.150, -0.00000, -0.00000, -0.00001, 0.00002, -0.00002
18.163, -0.00000, -0.00000, -0.00001, 0.00001, -0.00002
18.175, -0.00000, -0.00000, -0.00001, 0.00001, -0.00002
18.188, -0.00000, -0.00000, -0.00001, 0.00001, -0.00002
18.200, -0.00000, -0.00000, -0.00001, 0.00001, -0.00002
18.213, -0.00000, -0.00000, -0.00001, 0.00001, -0.00002
18.225, -0.00000, -0.00000, -0.00001, 0.00001, -0.00002
18.238, -0.00000, -0.00000, -0.00001, 0.00001, -0.00002
18.250, -0.00000, -0.00000, -0.00000, 0.00001, -0.00002
18.263, -0.00000, -0.00000, -0.00000, 0.00001, -0.00002
18.275, -0.00000, -0.00000, -0.00000, 0.00001, -0.00002
18.288, -0.00000, -0.00000, -0.00000, 0.00001, -0.00002
18.300, -0.00000, -0.00000, -0.00000, 0.00001, -0.00002
18.313, -0.00000, -0.00000, -0.00000, 0.00001, -0.00002
18.325, -0.00000, -0.00000, -0.00000, 0.00001, -0.00002
18.338, -0.00000, -0.00000, -0.00000, 0.00001, -0.00002
18.350, -0.00000, -0.00000, -0.00000, 0.00001, -0.00002
18.363, -0.00000, -0.00000, -0.00000, 0.00001, -0.00002
18.375, -0.00000, -0.00000, -0.00000, 0.00001, -0.00002
18.388, -0.00000, -0.00000, -0.00000, 0.00001, -0.00002
18.400, -0.00000, -0.00000, -0.00000, 0.00001, -0.00001
18.413, -0.00000, -0.00000, -0.00000, 0.00000, -0.00001
18.425, -0.00000, -0.00000, -0.00000, 0.00000, -0.00001
18.438, -0.00000, -0.00000, -0.00000, 0.00000, -0.00001
18.450, -0.00000, -0.00000, -0.00000, 0.00000, -0.00001
18.463, -0.00000, -0.00000, -0.00000, 0.00000, -0.00001
18.475, -0.00000, 0.00000, 0.00000, -0.00000, -0.00001
18.488, -0.00000, 0.00000, 0.00000, -0.00000, -0.00001
18.500, -0.00000, 0.00000, 0.00000, -0.00000, -0.00000
18.513, -0.00000, 0.00000, 0.00000, -0.00000, -0.00000
18.525, -0.00000, 0.00000, 0.00000, -0.00001, -0.00000
18.538, -0.00000, 0.00000, 0.00000, -0.00001, 0.00000
18.550, -0.00000, 0.00000, 0.00000, -0.00001, 0.00000
18.563, -0.00000, 0.00000, 0.00000, -0.00001, 0.00000
18.575, -0.00000, 0.00000, 0.00000, -0.00001, 0.00001
18.588, -0.00000, 0.00000, 0.00000, -0.00001, 0.00001
18.600, -0.00000, 0.00000, 0.00001, -0.00001, 0.00001
18.613, -0.00000, 0.00000, 0.00001, -0.00002, 0.00001
18.625, -0.00000, 0.00000, 0.00001, -0.00002, 0.00002
18.638, -0.00000, 0.00000, 0.00001, -0.00002, 0.00002
18.650, -0.00000, 0.00001, 0.00001, -0.00002, 0.00002
18.663, -0.00000, 0.00001, 0.00001, -0.00002, 0.00002
18.675, -0.00000, 0.00001, 0.00001, -0.00002, 0.00003
18.688, -0.00000, 0.00001, 0.00001, -0.00003, 0.00003
18.700, -0.00000, 0.00001, 0.00001, -0.00003, 0.00003
18.713, -0.00000, 0.00001, 0.00001, -0.00003, 0.00003
18.725, -0.00000, 0.00001, 0.00001, -0.00003, 0.00004
18.738, -0.00000, 0.00001, 0.00001, -0.00003, 0.00004
18.750, -0.00000, 0.00001, 0.00001, -0.00004, 0.00004
18.763, -0.00000, 0.00001, 0.00001, -0.00004, 0.00005
18.775, -0.00000, 0.00001, 0.00002, -0.00004, 0.00005
18.788, -0.00000, 0.00001, 0.00002, -0.00004, 0.00005
18.800, 0.00000, 0.00001, 0.00002, -0.00005, 0.00006
18.813, 0.00000, 0.00011, 0.00030, -0.00035, 0.00057
18.825, 0.00000, 0.00029, 0.00089, -0.00091, 0.00155
18.838, 0.00000, 0.00055, 0.00180, -0.00172, 0.00300
18.850, 0.00000, 0.00090, 0.00302, -0.00278, 0.00492
18.863, 0.00000, 0.00134, 0.00455, -0.00409, 0.00730
18.875, 0.00000, 0.00186, 0.00639, -0.00564, 0.01015
18.888, 0.00000, 0.00247, 0.00855, -0.00745, 0.01347
18.900, 0.00000, 0.00316, 0.01102, -0.00951, 0.01726
18.913, 0.00000, 0.00394, 0.01380, -0.01181, 0.02152
18.925, 0.00000, 0.00480, 0.01689, -0.01437, 0.02624
18.938, 0.00000, 0.00574, 0.02030, -0.01718, 0.03143
18.950, 0.00000, 0.00678, 0.02402, -0.02023, 0.03709
18.963, 0.00000, 0.00789, 0.02805, -0.02354, 0.04321
18.975, 0.00000, 0.00910, 0.03239, -0.02709, 0.04981
18.988, 0.00000, 0.01039, 0.03705, -0.03090, 0.05687
19.000, 0.00000, 0.01176, 0.04202, -0.03495, 0.06440
19.013, 0.00000, 0.01322, 0.04730, -0.03925, 0.07240
19.025, 0.00000, 0.01476, 0.05289, -0.04381, 0.08086
19.038, 0.00000, 0.01639, 0.05880, -0.04861, 0.08979
19.050, 0.00000, 0.01810, 0.06502, -0.05367, 0.09919
19.063, 0.00000, 0.01990, 0.07155, -0.05897, 0.10906
19.075, 0.00000, 0.02179, 0.07839, -0.06452, 0.11940
19.088, 0.00000, 0.02376, 0.08555, -0.07032, 0.13020
19.100, 0.00000, 0.02581, 0.09302, -0.07637, 0.14147
19.113, 0.00000, 0.02795, 0.10080, -0.08268, 0.15321
19.125, 0.00000, 0.03018, 0.10889, -0.08923, 0.16542
19.138, 0.00000, 0.03249, 0.11730, -0.09603, 0.17809
19.150, 0.00000, 0.03489, 0.12600, -0.10308, 0.19123
19.163, 0.00000, 0.03737, 0.13475, -0.11038, 0.20484
19.175, 0.00000, 0.03993, 0.14350, -0.11793, 0.21892
19.188, 0.00000, 0.04259, 0.15225, -0.12573, 0.23346
19.200, 0.00000, 0.04532, 0.16100, -0.13378, 0.24848
19.213, 0.00000, 0.04814, 0.16975, -0.14208, 0.26396
19.225, 0.00000, 0.05105, 0.17850, -0.15063, 0.27991
19.238, 0.00000, 0.05404, 0.18725, -0.15942, 0.29632
19.250, 0.00000, 0.05712, 0.19600, -0.16847, 0.31321
19.263, 0.00000, 0.06028, 0.20475, -0.17777, 0.33054
19.275, 0.00000, 0.06353, 0.21350, -0.18732, 0.34806
19.288, 0.00000, 0.06687, 0.22225, -0.19712, 0.36553
19.300, 0.00000, 0.07028, 0.23098, -0.20716, 0.38301
19.313, 0.00000, 0.07379, 0.23945, -0.21746, 0.40049
19.325, 0.00000, 0.07738, 0.24761, -0.22801, 0.41797
19.338, 0.00000, 0.08104, 0.25545, -0.23880, 0.43545
19.350, 0.00000, 0.08473, 0.26298, -0.24985, 0.45293
19.363, 0.00000, 0.08841, 0.27020, -0.26115, 0.47041
19.375, 0.00000, 0.09209, 0.27711, -0.27265, 0.48789
19.388, 0.00000, 0.09577, 0.28370, -0.28416, 0.50540
19.400, 0.00000, 0.09945, 0.28998, -0.29566, 0.52273
19.413, 0.00000, 0.10312, 0.29595, -0.30716, 0.53964
19.425, 0.00000, 0.10680, 0.30161, -0.31867, 0.55605
19.438, 0.00000, 0.11048, 0.30695, -0.33017, 0.57201
19.450, 0.00000, 0.11416, 0.31198, -0.34167, 0.58750
19.463, 0.00000, 0.11784, 0.31670, -0.35318, 0.60252
19.475, 0.00000, 0.12152, 0.32111, -0.36468, 0.61707
19.488, 0.00000, 0.12520, 0.32520, -0.37618, 0.63115
19.500, 0.00000, 0.12888, 0.32898, -0.38768, 0.64477
19.513, 0.00000, 0.13256, 0.33245, -0.39919, 0.65792
19.525, 0.00000, 0.13624, 0.33561, -0.41071, 0.67060
19.538, 0.00000, 0.13992, 0.33845, -0.42213, 0.68281
19.550, 0.00000, 0.14360, 0.34098, -0.43333, 0.69455
19.563, 0.00000, 0.14728, 0.34320, -0.44427, 0.70583
19.575, 0.00000, 0.15092, 0.34511, -0.45495, 0.71664
19.588, 0.00000, 0.15448, 0.34670, -0.46539, 0.72698
19.600, 0.00000, 0.15795, 0.34798, -0.47558, 0.73686
19.613, 0.00000, 0.16134, 0.34895, -0.48552, 0.74626
19.625, 0.00000, 0.16464, 0.34961, -0.49521, 0.75520
19.638, 0.00000, 0.16786, 0.34994, -0.50465, 0.76367
19.650, 0.00000, 0.17099, 0.35002, -0.51383, 0.77168
19.663, 0.00000, 0.17404, 0.35000, -0.52277, 0.77921
19.675, 0.00000, 0.17700, 0.35000, -0.53146, 0.78628
19.688, 0.00000, 0.17987, 0.35000, -0.53990, 0.79288
19.700, 0.00000, 0.18266, 0.35000, -0.54809, 0.79901
19.713, 0.00000, 0.18537, 0.35000, -0.55603, 0.80468
19.725, 0.00000, 0.18799, 0.35000, -0.56372, 0.80987
19.738, 0.00000, 0.19052, 0.35000, -0.57117, 0.81460
19.750, 0.00000, 0.19297, 0.35000, -0.57836, 0.81886
19.763, 0.00000, 0.19534, 0.35000, -0.58530, 0.82266
19.775, 0.00000, 0.19762, 0.35000, -0.59199, 0.82598
19.788, 0.00000, 0.19981, 0.35000, -0.59843, 0.82884
19.800, 0.00000, 0.20192, 0.35000, -0.60463, 0.83123
19.813, 0.00000, 0.20394, 0.35000, -0.61057, 0.83316
19.825, 0.00000, 0.20588, 0.35000, -0.61626, 0.83461
19.838, 0.00000, 0.20773, 0.35000, -0.62171, 0.83560
19.850, 0.00000, 0.20950, 0.35000, -0.62690, 0.83611
19.863, 0.00000, 0.21119, 0.35000, -0.63184, 0.83620
19.875, 0.00000, 0.21278, 0.35000, -0.63654, 0.83617
19.888, 0.00000, 0.21430, 0.35000, -0.64098, 0.83618
19.900, 0.00000, 0.21572, 0.35000, -0.64518, 0.83618
19.913, 0.00000, 0.21706, 0.35000, -0.64912, 0.83618
19.925, 0.00000, 0.21832, 0.35000, -0.65282, 0.83618
19.938, 0.00000, 0.21949, 0.35000, -0.65626, 0.83618
19.950, 0.00000, 0.22058, 0.35000, -0.65946, 0.83618
19.963, 0.00000, 0.22158, 0.35000, -0.66241, 0.83618
19.975, 0.00000, 0.22249, 0.35000, -0.66510, 0.83618
19.988, 0.00000, 0.22333, 0.35000, -0.66755, 0.83618
20.000, 0.00000, 0.22407, 0.35000, -0.66975, 0.83618
20.013, 0.00000, 0.22473, 0.35000, -0.67170, 0.83618
20.025, 0.00000, 0.22531, 0.35000, -0.67339, 0.83618
20.038, 0.00000, 0.22580, 0.35000, -0.67484, 0.83618
20.050, 0.00000, 0.22620, 0.35000, -0.67604, 0.83618
20.063, 0.00000, 0.22652, 0.35000, -0.67699, 0.83618
20.075, 0.00000, 0.22675, 0.35000, -0.67769, 0.83618
20.088, 0.00000, 0.22690, 0.35000, -0.67814, 0.83618
20.100, 0.00000, 0.22696, 0.35000, -0.67833, 0.83618
20.113, 0.00000, 0.22697, 0.35000, -0.67835, 0.83618
20.125, 0.00000, 0.22696, 0.35000, -0.67832, 0.83618
20.138, 0.00000, 0.22696, 0.35000, -0.67833, 0.83618
20.150, 0.00000, 0.22696, 0.35000, -0.67833, 0.83618
20.163, 0.00000, 0.22696, 0.35000, -0.67833, 0.83618
20.175, 0.00000, 0.22696, 0.35000, -0.67833, 0.83618
20.188, 0.00000, 0.22696, 0.35000, -0.67833, 0.83618
20.200, 0.00000, 0.22696, 0.35000, -0.67833, 0.83618
20.213, 0.00000, 0.22696, 0.35000, -0.67833, 0.83618
20.225, 0.00000, 0.22696, 0.35000, -0.67833, 0.83618
20.238, 0.00000, 0.22696, 0.35000, -0.67833, 0.83618
20.250, 0.00000, 0.22696, 0.35000, -0.67833, 0.83618
20.263, 0.00000, 0.22696, 0.35000, -0.67833, 0.83618
20.275, 0.00000, 0.22696, 0.35000, -0.67833, 0.83618
20.288, 0.00000, 0.22696, 0.35000, -0.67833, 0.83618
20.300, 0.00000, 0.22696, 0.35000, -0.67833, 0.83618
20.313, 0.00000, 0.22696, 0.35000, -0.67833, 0.83618
20.325, 0.00000, 0.22696, 0.35000, -0.67833, 0.83618
20.338, 0.00000, 0.22696, 0.35000, -0.67833, 0.83618
20.350, 0.00000, 0.22696, 0.35000, -0.67833, 0.83618
